"usernames2","titles2","dates2","reviews2","ratings2"
"PartialMovieViewer","If Only DC Superheroes Could Have Helped","8 May 2019","Oh gee golly gosh, I am just doing backflips after suffering through three hours of this movie starring, ahhh. Was this actually a movie, or advertisement for its sequel (sssss)? At least there were all sorts of stars in this thing. You know, ummmm, everybody and their brother and their sister and then some. Yeah. Everybody! Wowee! Makes the head spin 'Exorcist' style, yeehaw. So what were Ironman, those others and (my favorite) snotty, teenager Groot doing? I don't know. Fighting evil way out in outer space, kind of like Superman and Batman. Why didn't they run into them while they were out there? 'Infinity Wars' seemed like tremendous potential was wasted. For one thing, way too many superheroes. I lost interest in what they were all doing with the exception of Groot and the rest of Guardians of the Galaxy. This thing was probably 15 minutes too long. And I know I shouldn't say this, but I'm not wasting my time or money on the sequel. I like many of the early Marvel projects, but now they have gotten way too big. Meh, time to move on.","3"
"Achyut_Prashast_Singh","Avengers: Infinity War Review: Get ready for the biggest visual spectacle of the year and the best superhero film of all time!","27 April 2018","I am speechless. There's in no way I can stop thinking about the film. It's really phenomenal, and is absolutely astonishing in each and every aspect. This is not just another cool summer movie, it's much more than that. AVENGERS INFINITY WAR is a masterpiece of the superhero genre. There's in no way a superhero fan will return home disappointed. Plus, the film is visually so powerful that it needs to be seen in IMAX 3D (I did) for the best experience. After a long time, I saw the multiplex audience cheering and clapping throughout a film, and found even myself doing the same.

AVENGERS INFINITY WAR is the pride of world cinema as a whole. It's something you won't have seen or even imagined of seeing, ever before. Much more than just an experience, the film is something which has the power to unite the world with the sole aim of watching and enjoying the film. And I can really see that happening around me.

I won't say too much. I don't want to reveal even a single bit of the movie. I'll just say that the performances were excellent, the action scenes were mindblowing, the visual effects were spectacular and the screenplay was masterfully written. This film can go down in the history of filmmaking as (one of) the best superhero film(s) of all time.

Just like any superhero film, this one is also an out and out action entertainer filled with excellent and grand action sequences, but another thing which makes it impactful apart from the action is its plot, character and emotional depth.

This is one grand masterpiece that shouldn't be missed at any cost. Each and every second of the film is rewarding, and watching it in the best possible quality is probably the best gift you can give yourself. Don't wait for the DVD or BD. Just go and experience this visual spectacle which is much more than just an experience. This action fantasy movie is, the best superhero film of all time.","9"
"Familydoc777","2 and a half hours of my life I can't get back","3 May 2018","Who wants to go to a movie when they feel worse at the end than they do when they come in? The ending ruins the film and tries to hook you into seeing part 2. I will wait until it makes it to the small screen. I won't lay down good money to feel bad. Nice effects but storyline just sucks. I can't believe all the high ratings.","10"
"Thanos_Crybaby_03","Thanos the Emo Crybaby...Thanos Mickey Mouse Style","11 May 2018","12 jokes within 3 minutes in conversation between Doctor Strange, Hulk and Iron Man in the beginning of movie. Too silly then super serious, switching back and forth. There were more humorous moments in this movie than any other MCU film, more than Thor Ragnarok. Avengers Infinity War should have some comedy description or category. Disney needs to stop with the excessive humor.

Thanos motive is weak and uninteresting in film. I don't recognize Thanos THE MAD TITAN from the comic books, he's too simple in this movie. LADY DEATH's influence over Thanos is more coherent. But that's what happens when a children's company takes over a sophisticated comic book company, they change the stories for kids and add lots and lots of humor.

One more thing, title of movie is incorrect. This movie is Disney's adaptation of the Infinity Gauntlet series, not Infinity War. What was the point of Disney' mixup of titles? The answer is Disney wanted to confuse people that might spoil movie with their comic book knowledge. This avoids negative reactions from social media during production to post production. 2/10 stars because of Disney's cheesy Mickey Mouse adaptation of Thanos the Emo Crybaby, Peter Quill should dance for Thanos to cheer him up.","10"
"cking1010-458-184844","Absolutely EPIC!","21 August 2018","Since I'm one of the last people, it seems, to see this movie, I'll keep it short and sweet. One of the most incredible science fiction/superhero movies ever. Action and special effects are on full tilt.","10"
"keniwhat","Enjoyable but a Disjointed Mess","7 May 2018","Marvel have embarked on a massive project to link up many movies over a decade to a grand finale featuring all of the main heroic characters of the movies. However, the inifinity stones are more of a thread linking the movies than a story in itself. The story of the stones is what infinity wars is about. So it's a new story but populated with characters already developed so the character development is that of Thanos, the villain. Josh Brolin is brilliant as Thanos but his back story is a biit lame, perhaps as a result of distillation from the comics, but still for a movie of this scale a bit thin. All of the Marvel characters are involved and it is just too much for the film, giving it an air of contrivance, Comic relief is probvided largely by the Guardians of the Galaxy even that is not so fresh anymore. On the whole it is enjoyable family fluff but falls in many respects due to ridiculous levels of suspension of disbelief.","8"
"fibulator777","Love the movie, but Thanos motive is botched","18 June 2021","So, ya... I loved the movie. However, ""cutting the population in half"" would do jack squat.

Populations double every X number of years (depending on species) until they find balance.

So, *at best*, it'd buy each respective species X years (assuming Thanos was correct that every species would wipe itself out). Though, a ""hop to any planet you want"" species would be practically impossible to ""wipe itself out due to too much population"" because of natural nutrient recycling, combined with unlimited resources.

At best, he gave them an extra couple of years... at worse, he was a mass murder for no reason other than derpin' stupidity.","5"
"lambiepie-2","Excting, heartbreaking and -- makes you think that even Heroes can't last forever.","26 August 2018","Yes, this is a Marvel Superhero Movie. Many of the fan favorites are here. They are all doing what they are good at doing with their skill sets used for protecting the Universe. There are the fights, then the battle. Then they lose. They lose big. What? Yep. Why? Logically, how can they not? Logically, And that is the beauty of what is presented here. A bold move for beloved characters but it works.

These Super Hero characters are faced to confront the inevitable. How can they combat an egotistical maniac with power who thinks he knows what is good for the Universe as he sees it --and knows if he can capture the five stones that (basically) represent a corner of each existence to do so? Nothing will stop him. He will destroy family, friends, Nations, Worlds to get what he wants. And gets it. That..is Thanos. (What..? Who'd you think I was referring to? If so, then maybe that's why the film irritates some, and saddens others. It takes you from fiction to a possible reality and that makes you..think).

No plot? Really, it's the oldest plot in the world and presented here it is entertaining, but heartbreaking. Heroes win, don't they? Evil gets defeated, doesn't it within 2 1/2 hours with all your favorite Marvel Superheros at battle? This film starts with horror, and ends with it too. That is the beauty of this entry. Fans will walk away musing as things are left open (not unsolved). Fans also know that Thanos will not magically disappear and everything will turn out perfect. It didn't. It won't. Thanos is the part of the Marvel Universe you'd never expect to see in an entertainment film, but had to. And now is a good a time as any to do so.

Iron Man, The Hulk, Thor, Captain America, Black Panther, Doctor Strange, Vision, Guardians of the Galaxy and all the characters that surround them are all here to battle to save the Universe. Universe. Big place. It was great to see them all on the screen, and as I've already mentioned, doing what they do best. The BEST part of it for me is seeing them act as teams to do so. But, they are battling a more than formidable entity no matter how much teamwork they try to overcome it.

Hope? Well, that I won't spoil for you -- but let me tell ya, the Marvel Universe is HUGE, and this film only touches the surface of what else can be introduced. And one part of the MCU I've been waiting for, is strongly hinted to arrive, and I cannot be more happier to see it (in the next installment, I'd bet big, yes!). Will there be a happier ending there, maybe? Um, not sure. But that what makes this a great film -more than just a summer blockbuster, more than just a bunch of Super Heroes in the screen mulling around the Universe. It actually makes you think.","8"
"c_razz_y","10 years in the making ... it's worth the wait!","25 April 2018","Hey everyone (Spider-Man voice),

I'm going to keep this review short and snappy and I won't dive into plot details (as requested by the Russo Brothers). #Thanosdemandsyoursilence I went into this movie with the mindset that I will be blown away and this will not only be a home run but out of the park. All I can say that my expectations were met. Thanos is the most powerful villain we've seen to date and the avengers, who are torn apart (following Civil War) are not prepared for this. And then insanity ensues accompanied with real stakes and potential dire consequences. It's a great story filled with twists and surprises. I enjoyed it a lot and I think so will everyone as I predict this will beat the opening weekend record (set by force awakens) and cross the $250 million line.

A review will be uploaded to my YouTube channel (OddinaryProductions) very soon and I will answer any questions you have regarding the movie. Thank you for your time :)","9"
"maarten-db","Amazing movie with few flaws","16 August 2018","I think that since the original marvel movies (Iron-man, Thor, captain America,..), the movies have become more meaningful over the past years. I really liked the new spider man and black panther, and absolutely loved Thor Ragnarok. I thought civil war was the worst movie in the franchise and it gave me a lower expectation for upcoming avengers films (yes it was technically a captain America film, but I mean it really wasn't was it..), but this movie was so well written with some emotional moments, I'd totally recommend it to people who enjoy a long, breathtaking but also overwhelming movie. 9/10","9"
"martin-hristov-92","Best Marvel movie","26 April 2019","Infinity war is a high-paced masterpiece that combines so many interesting characters in a unique way.

I am truly impressed by the way the directors have brought things together and have built up the culmination for the whole MCU since 2008.

Visuals are phenomenal, funny moments are plenty. Despite the relatively smaller focus on character development, I liked that you can clearly see the motivation for the actions of each side. This brings more depth to the story and brings the viewer on a emontional ride.

Infitiy war is full of twists and suprises, and is never boring. I feel like I can watch it again and again without ever having too much of it.","3"
"dmitrishapovalov","A little disappointed - expected more ...","30 June 2018","Before you pay the witches some loot to go for me, hear me out please;

The graphics and special effects - brilliant. The story line, well. I do think that they should maybe consider appoint better script writers in the future. It just maybe work on paper but it did not go that well on film. The other major point that just beat the heck out of me was the over focus of certain characters and then the total lack of others.

This was more a ""cleanup"" movie than anything else. The end also, just WAY too much and the result thereof - really. The plot was good to a certain point and then this over focus of elements / characters.

My sisters (twins) LOVE this movie. Probably watched it in cinema already 4 times together. We do have different taste in stuff and that all fine, I just donated the majority of the Avenger / Hulk / Marvel DVD's to the library. Maybe someone will have more perspective than me. This movie halted it all on my side.","9"
"dakotadickenson-83457","A film that lived up to expectations","2 May 2023","Avengers: Infinity War is hands down one of the greatest superhero films made to date. It brings every current MCU hero together to fight the common enemy that fans alike have been waiting years to see come to the big screen. When mad titan Thanos is on a mission the collect all six infinity stones, it's up to Iron Man, Hulk, Thor, Captain America, Black Widow, Black Panther, Doctor Strange, Wong, Spider-Man, The Guardians of the Galaxy, and the rest of the remaining Avengers to fight the powerful titan in a fight to save the universe. So first off, The Russo Brothers did a fantastic job bringing all these hero's together for this film. Robert Downey Jr is great as always as Iron Man putting his new nanotechnology to good use. Chris Hemsworth Thor is magnificent, bringing us probably one of the best versions of the character we have ever seen. Mark Ruffalo as Bruce Banner/Hulk is also great even though we got more of Bruce Banner instead of Hulk in this film. Chris Evans as Captain America is great as always showing us more of his character that is now on the run including Scarlett Johansson's Natasha Romanoff/ Black Widow and Anthony Mackie's Sam Wilson/Falcon. The Guardians of the Galaxy are great too with there interactions with some of the Avengers. Zoe Saldana's Gamora stands out the most out of all them in this film. Chadwick Boseman's Black Panther is also fantastic that is not only just joining the fight against Thanos, but bringing the whole nation of Wakanda with him along for the fight including Sebastian Stan's Bucky Barnes/The Winter Soldier who is also great. The best character throughout the whole film that really made this film as great as it is, is Josh Brolin's Thanos. He really brings the long awaited character to the big screen in fashion, as the film mostly follows his journey to collect the infinity stones, while the Avengers try to stop him. On the journey, he must deal with what his destiny is, tragedy, and stopping anyone that gets in his way. Thanos is so far my favorite villain to ever come to the MCU mainly, because I think he has the best purpose out of any villain in the MCU for what he's doing and the way it's captured is absolutely extraordinary. Overall, Avengers: Infinity War is hands down one of the greatest superhero movies ever made, while also bringing us all the hero's we've waited so long to see in one film as well as bringing us one of the greatest superhero villains we have ever seen. Rating 10/10.","9"
"Avwillfan89","You didn't see THAT coming?","28 April 2018","I am a person who has never read the comics, but has fallen in love with the films. And it has to be said with this particular universe, all of the filmmakers have transformed what were either unlikable or one dimensional heroes and villains into fully fledged, lovable, three dimensional characters. They make you care for these people - which is why this film works extraordinarily well.

This movie is many things: extremely relentless, fast-paced, funny, heartbreaking and action packed. And contains one of the most jaw-dropping endings I've ever seen. When a mass-market appeal blockbuster is totally invested in consequences, storylines and character arcs, as well as taking big risks, I absolutely love it and wish more movies had the balls to do it.

That being said, there is a small part of me that wished I wasn't so geeked out and in love with the characters. But it's too late, as Doctor Strange says at one point, ""We are in the endgame, now.""

The filmmakers did right, they didn't joke about and they meant it when people should not spoil the movie.

Go and see it.","1"
"soccerlover374","Best movie everrrrrr!!!!!!!!","30 April 2018","Best Marvel no doubt Movie was funny sad and A lot of action scenes it was a masterpiece Russo brothers did good with Civil war and they did even way better for infinity wat and I was so shocked when Red Skull came back my jaws dropped on the ground And I really wanted Ant-man and Hawkey to be in this part but they weren't it's watever but the movie did meets its expectations loved it can't wait for Avnegers 4","8"
"martin-isaksson-138-448005","People in here should be banned","17 August 2018","I cant understand how any movie fan in world can give this movie 1 in score?i think people that do that should be banned from scoring movies.its a well made and a very good super hero movie","4"
"rockman182","Avengers: Infinity War (2018)","28 April 2018","I can't remember the last time I was so hyped for a film like this. Probably back in 2008 with the release of The Dark Knight. Well, ten years later here I was doing the same routine. Watching trailers over and over, avoiding all possible spoiler news about the film, and aching to watch it on opening day. Finally, the wait was over and I finally watched the film. While, I still don't think its my personal favorite Marvel film despite expecting it to be, the film is overall a very good film despite its different tone. Furthermore, there are no plot spoilers in this review, there may be thoughts but no real spoilers.

The film is the next installment in the Marvel Cinematic Universe, which sees the Titan, Thanos, on a serious quest to find the Infinity Stones. The various stones let him control basic aspects of the world and make him powerful. The collection of all of them could change the universe drastically and make him the decider of anything that occurs Of course, The Avengers and surrounding heroes make it a mission to stop him and so we see our heroes unite (and split up) to attempt to take down this force that is unlike anything they've ever seen before.

There are a few negatives of the film but nothing that really bring down the quality of it so much. I think the Russo brothers did a generally good job of doing this ambitious crossover combining many characters from different films. However, some do not get enough screen time. Its nothing crazy, but it was expected. There are a lot of humor moments, most hit but not all. That might bother some of the viewers wanting less of that. Also, there are some major plot points that were dumb and questionable, not getting into it though.

I highly appreciated Josh Brolin as Thanos. One weakness of previous Marvel entries was a weak or generic villain. Finally we have one with a well fleshed out back story and one that is unpredictable. Thanos is legitimately threatening and you feel scared for the superheros when he is on screen. There are some moments that feel emotional and it ropes you in well. I feel like the tone and nature of this film is darker than anything in the MCU which I liked. Finally, things feel like they have consequences. The battles are for the most part fun and what you expect. The film is definitely incomplete because it was shot together with the next Avengers.

I have a lot more to say but feel worn out, in a good way. The real strength of Infinity War is being able to see characters you love interacting with one another. Ten years of films, were all leading to this and you can tell the filmmakers but a lot of effort and heart into it. It won't please everyone and does come with flaws and complaints but I think its an event that every comic book fan has to see in the theaters. I am ready for the hype for the next Avengers.

8.5/10","10"
"Maximusgonzales","The Best of the Best","14 May 2018","Generally with superhero movies you know your hero will win, and as a result the viewer couldn't care less about the story. Why care when you know it will work out in the end? Infinity war tropes that stereotype and gives the viewer new interest into the super hero world that may not always end with puppies and rainbows.

This is a great movie that tells an in-depth story line of interpersonal relationships while maintaining the action of the story, something extremely hard to do. Thanos was a well constructed villain who truly did make you afraid for the heroes we hope will prevail.

This one will go down in the record books.","10"
"abdiluqman-47593","OH MY GOD!!!What a Masterpiece","4 June 2020","This movie is literally the best movie out there.I was completely amazed and the russo brothers pulled off the greatest achievement of all time.This is history and will forever be.","10"
"RforFilm","With most of The Avengers and Guardians of the Galaxy ready to play, Avengers Infinity War is an exciting crossover event that'll satisfy most Marvel fans","28 April 2018","We've spent ten years with Disney's Marvel Cinematic Universe. Whether you think it's a groundbreaking character driven story or a corporate cash cow, the MCU has managed to not only adapt the famous comics of Stan Lee and Jack Kirby (yes, I know there were a lot more people involved, so let's say all of those creative artists and writers of Marvel), but has managed to change how super heroes are seen on the big screen. They can have grey lines, they can be anti heroes, they can have moments where they don't even trust the government. I've personally love the MCU movies and will keep coming back to them to see where our heroes end up next.

Ever since The Avengers, the MCU has been teasing the upcoming villain Thanos. He had spent a good chunk of these movies on a throne, hoping that one of his minions can acquire certain stones, such as the power stone in Guardians of the Galaxy and the reality stone in Thor: The Dark World. Time has finally come for the Avengers and the Guardians of the Galaxy to team up in the major crossover event movie that is Avengers Infinity War.

What I won't do is list all the actors, but I'll give a brief look at the story without going into spoilers, as much of the film's enjoyment is what you don't know.

We open on Thor's ship where Thanos and his children has caught up with them and have acquired a couple of the stones. Thanos understands that if he can collect the rest of the stones for the gauntlet, he'll have the power to control the universe, time, and the fate of every living creature within his grasp. A last ditch effort sends Hulk/Bruce Banner back to Earth where he meets up with Dr. Strange, Iron Man/Tony Stark and Spider-Man/Peter Parker.

Meanwhile, Thor manages to get a distress call out where the Guardians of the Galaxy, Star-Lord, Gamora, Rocket Racoon, Drax, Groot, and Mantis, respond. Their fully aware of the danger that Thanos possesses and agree to help. Back on Earth, Vision and Scarlet Witch are attacked by Thanos' children, but saved by Captain America/Steve Rogers, Natasha Romanoff, and Falcon/Sam Wilson who all sense the danger. They make it to Wakanda to meet up with T'Challa/Black Panther. Together, all of these heroes end up in different areas as they try to stop Thanos from getting the rest of the Infinity Stones.

While Avengers Infinity War has a lot to live up to, I decided to not keep my expectations too high as I know that this is a tough movie to pull off. The good news is that I was very happy with what I got. You get your favorite superheroes and a lot of action that's warranted from the film's villain and his scary desire. I'll start off with. Josh Brolin finally gets to shine as one of the most complex villains of the MCU (which has not had a good track record of villains).

The heroes face a villain who is genuinely scary, thanks to several scenes of them fighting which I won't spoil and a lot of his view of the universe, which I also won't spoil. He is beyond powerful, smart, and does have a moral compass; just not a traditional one. We get more time with him and his relationship with Gamora and just what his children mean to him compared to the bigger picture. The other villains too, prove to be powerful, even if their not as memorable. It's made up with their overall impression of worship and how a lot of that driven emotion can generate into persuasion.

For a movie with a lot of characters, Avengers Infinity War has a lot of work juggling them. I'd say that one of the bigger flaws is that the editing around that is not done well. It'll spend a good twenty five minutes in space with dazzling effects, but then suddenly cut back to Earth in Africa. While we definitely see the consequences for the heroes, it doesn't give us enough at how the rest of the world would deal with such a threat. Why couldn't have more of the marvel heroes from ABC and Netflix also get involved? I can't blame them for this, but the movie might have benefitted from being longer, making the editing of the longer sequences feel justified.

I'll give this eight Infinity Gauntlets out of ten. I think most Marvel fans will be happy with the movie and the surprises it throws (yep, there are a lot of them here). If your not as well read and haven't seen the other movies, I'd recommend watching the other Avengers, Guardians of the Galaxy and Doctor Strange first. Again, I was happy with everything, given that I wasn't asking for too much. More might have been done to really make this an epic masterpiece like Ben Hur, but for a lot of people, this will be a Marvel to sight.","4"
"merpman-94402","Masterpiece","30 April 2018","Went to see this in 3D IMAX, unfortunately we had some kids behind us that would not shut up and kept kicking our chairs.

Depsite this, we still thought the movie was amazing, but had a nagging feeling we had missed parts somehow.

So, we went back the next day, this time in regular movie theater (though the biggest screen in the area).

Firstly, have to say, 3D IMAX gave nothing to this movie, or any other movie i have seen in 3D IMAX for a while now. Done with 3D.

Secondly, after watching it a second time, i believe this is a masterpiece of cinematic entertainment.

How everything comes together, how the characters are injected into the storyline at perfect moments of introduction, interactions and fight scenes, even the Thanos character development. All just brilliant.

The crowd, was like being at a highly competitive soccer match, everyone screaming and applauding.

EDIT: coming back after watching Endgame, comparing the two movies. Whilst Endgame is a fantastic movie on its own, it definately has its problems. Comparatively, Infinity War wins supreme across not just Marvel, but all super hero movies.","9"
"merpman-94402","Wow, just wow.","29 April 2018","Two amazing Marvel super hero movies with a couple moths of each other. But which is better ? thankfully you dont have to chose.

What can you say about this without spoiling the movie ?

Its 2 hrs 40 minutes long, but every minute of it is engrossing. So much action, but done in such a manner that you dont get bored with it.

DC have a long way to go to get to this level.","9"
"rijazbinu","biggest disappointment from MCU and pointless","4 May 2018","Avengers (first part) were far better than this, and MCU legacy will carry on ""Coming back from dead""","7"
"Wookie_Wookie","Avengers: Infinity War. BEST MOVIE OF THE DECADE","2 May 2018","Avengers: Infinity War is the BEST Marvel movie of all time. ( My opinion, don't hate me ) The cgi was remarkable , the screen writing was INPECKABLE , the acting was amazing and the list goes on. But tbh I SPOILER WARNING I Thanos at some points doesn't seem like a bad guy , sure he wants to kill half the universe and succeeded. But he wanted to kill the bad half ( Don't ask me why Tom Holland, Chris Pat and Chadwick Boseman were killed) But he wanted to live in peace. But if you saw in the end credits that Nick Fury sends a message to Captain Marvel (Also getting her a stand alone film) meaning that Captain Marvel might be the super weapon. And if you read this far than I got treat for you. I looked online for Avengers 4 and saw the cast and I can tell you that The Black Panther will come back. Don't believe me? Link to full cast list. https://www.imdb.com/title/tt4154796/fullcredits Trust Me Tom Holland will return. Marvel can't kill Spiderman. But who knows","9"
"mephisto_chang","I... just don't know","26 April 2018","I want to say I loved it but I just can't.

Too long, too many characters and the plot is just a lot like the other movies from the MCU: predictable.

The actors were amazing, though.","5"
"mito876","Don't believe sad DC fanboys bad reviews.","15 May 2018","There is literally no way to dislike this movie. People complain about humor. Use your brains and you will see that the humor is necessary yet high quality. There are no mistakes in any of the aspects of the movie. Some minor plot holes but thats it. it's a solid 9.5 movie. An epic journey. With more than 20+ characters Russo brothers managed to an amazing movie with that many caharacters. This is literrally the hardest movie ever in cinema history. And they succeeded amazingly. Which Zack Snyder/DC couldnt do with that terrible movie Batman V Superman. Only 2 or 3 main characters. Pathetic. Stop giving bad reviews because of humor you cant understand. infinity War is a masterpiece.

Acting = Perfect 10/10 Soundtrack = Perfect 10/10 Cgi/Visuals = Perfect 10/10 (Thanos' Cgi is unique, There is no other cgi as good as it) Story = Almost perfect 9.8/10","10"
"garethjeanes","Brilliant","25 April 2018","Loved it . Worth waiting ten years for .

Can't wait for part 2","10"
"andrewnicolas","Best Marvel Movie!","27 December 2018","It was the best Marvel movie. It was nice that Marvel Studios decided to bring all the superheroes introduced yet to face the biggest and baddest villian, Thanks. Great action and a great story. The ending was the best one leaving all the viewers in alot of suspense.","10"
"anselmdaniel","Ambitious cross over","21 February 2023","This review contains spoilers.

Avengers: Infinity War is the third movie in the Avengers series and is the culmination of the infinity stone arc that has been hinted at in the previous Marvel cinematic universe movies. This movie explores Thanos in more depth as well as utilizing all characters in the Marvel cinematic universe to resist Thanos' plan. The movie is about the event of the infinity stones being brought together and the heroic response.

Avengers: Infinity War is a visually impressive movie. The movie is filled with dazzling special effects in every scene. The sound is likewise at the high quality as the visuals. There is not a weak part of the audio and visual experience. The movie felt like how the Marvel cinematic universe should feel after all of the movies. Thanos' character design resembles his comic counterpart and he looks as realistic within reason as a giant humanoid alien should look. Likewise, Thanos' children have distinct and great designed that allow the audience to pick them out in a wide frame.

The problems with this movie lie in its story and approach-ability. This entry in the Avengers film series is the least accessible out of all of the Avengers movies. The audience must watch the previous Marvel movies or they will be lost. There is not a single main character or group that is followed in this movie. The only character that is followed consistently with an arc is Thanos. He could be considered the villain protagonist of the story, but he is still not followed as in a classic movie. The movie starts with the cross-overs and anybody that is not familiar with Marvel characters will be lost. Each of the characters maintain their traits in this movie. The guardians of the galaxy have their character when interacting with Thor, Iron Man, Spider-man, and Doctor Strange. The flip-side is also true where the Earth's heroes maintain their personality through the dialogue. The writers should be commended for the writing these cross-overs well. The movie splits the plot into separate threads where the heroes try different methods to defeat Thanos. Ultimately none of it matters because Doctor Strange already knows the only way to win. It was predictable that Thanos would get all of the infinity stones. What was not predictable was seeing which heroes would fade away when Thanos removes half of the universe's population. The movie's end was unique where the movie is not afraid to shock the audience with such a downer ending.

Overall, Avengers: Infinity War is recommended. The movie is highly ambitious and is an interesting movie to watch for its universe. The movie does have some problems and it is highly recommended to watch previous movies before watching this movie.

Grade: B.","7"
"FilmMan47","A Nice Film From Marvel Phase 3 That's Actually Holds Some Quality Standard","8 August 2019","I hate Thor films honestly i just don't care for the character its boring garbage plus its performed by one of the worst actors ever Chris Hemsworth the makes or studio should replace him and then ill might actually see one fully rather than skipping to next chapter or seek to a particular scene only Hela was good in Ragnarock thanks to Cate Blachette now coming back to this film all i have to say is that infinity war is the only watchable and repeatable film in marvel phase 3 seriously it holds some level of quality and standard the makers really pushed it and i found myself liking it,Thanos was well done here strong and cool,i just recently watched endgame 2019 and it was bad no action only talk it doesn't matter if it made huge money at box office i wont waste my cash over that kid of nonsense ill take this infinity war any day,you can see my endgame review if you click on my profile button it will take you to the main area my channel page. i am going to make it short from here because what i am about to say might worry some people i am fan of both marvel and dc and its sad to see whats going on recently marvel still doing nice but dc is in a mess the last good dc films were the dark knight trilogy of christian bale as batman honestly,both marvel and dc comics film makers need to up their game i really hope that black widow and Eternals movies will do great in phase 4 & dc should start all over cancel justice league and wonder woman as dc movies are not working at all reboot everything again they must because if they don't then its really endgame for them not joking because guys a new comic book hero is about to enter the competition soon in the valiant comic universe based on valiant comics Vin Diesel will star as bloodshot in the film the quality level on that film will be insane it will defeat and own these kids at marvel and dc comics its going to be extreme and Rated R not for kids,so marvel and both dc should start aiming at adults,this avengers infinity war was good attempt but again they need to stop making films pg or lame for kids marvel and dc need to grow up endgame and justice league are examples of poor film making.why not make animation entirely then if they want to cater to the kids,if you are making a feature live film then better make it good,this one film showed that it was worth the effort and not really about money the acting,story everything was good,you cant go and make a comic book film without a Cgi what would that be it would be just another movie with actors acting and there are films like that out there like Jason Bourne or some Steven Seagal films etc so this one was a good mix of Cgi and live action,endgame really made me angry as everything looked out of place,infinity was set a standard and marvel blew the chance and ruined the sequel movie,always remember that a good film is not about awards or cash it made at box office its about repeat value look at the matrix trilogy of Keanu Reeves i know i am going off topic a big but yes that's how films should be made so these guys better watch out and fix their mistakes or on purpose errors,infinity war made me glued to the seat and not move for this nice film my rating is 5/10 and i love iron man.watch it","1"
"TonnerBowow","My Personal Favourite Marvel Film","24 May 2020","This movie did wonders for the MCU, it created hype for the somewhat disappointing Avengers Endgame, it left audiences at the edge of their seat during every fight as the tug of war between Thanos and the Avengers was always so violent and unpredictable that truely anyone could have won at the end of this film. Although not perfect, and suffers from multiple forced events and ever changing power levels of some characters, the 3rd Avengers film was a rightful success to the first two.","9"
"rustonreviews","Bombastically ambitious, completely exhilarating and emotional, Infinity War is truly epic.","29 April 2018","Everything about Marvel's latest addition in its sprawling, epic MCU franchise feels overwhelmingly massive. Boasting the largest cast of any Marvel movie yet, a storyline on a colossal scale and a supervillain finally getting his chance to step forth into the limelight, Avengers: Infinity War has much to live up to. Since its genesis in 2008 with Iron Man, the MCU has been thriving for an impressive ten years, continuously expanding and, for better or for worse, birthing the term 'cinematic universe'. Thanos (Josh Brolin) searches high and low across the universe to complete his collection of infinity stones. Once all have been retrieved and inserted into his golden gauntlet, he will be granted world dominating power and become an unstoppable juggernaut of destruction. With so much at stake, the Avengers, along with the Guardians of the Galaxy and various other superheroes including Spider-Man (Tom Holland), Black Panther (Chadwick Boseman) and Doctor Strange (Benedict Cumberbatch), must unite to defeat Thanos before their world is torn apart. As much as I was anticipating Infinity War, I was also anxious due to the sheer weight of it all. Sure, the geeky fanboy in me was psyched to see such an ensemble, but there was still the fear that the film would feel too overcrowded. Thankfully, the Russo brothers pull it off with such grandeur, resulting in one of the very best Marvel films yet.

Firstly, Thanos is without a doubt the best villain this franchise has brought into the fold. Marvel is known for its villain problem, only offering a small handful of memorable antagonists such as Loki (Tom Hiddleston) and Ultron (James Spader), but the Russo's quickly establish Thanos to be the most threatening force to be reckoned with within the films opening ten minutes. Convincing villains are difficult to write, but for all his evil and destructive nature, Thanos is given an emotional depth that is sourly lacking in many villains these days, in both comic books and movies. In many ways, the film feels like it belongs to Thanos himself. As they've already proven in The Winter Soldier (2014) and Civil War (2016), the Russo's know how to present their audience with stellar action sequences, and Infinity War's action is just as brilliant. It's a breathless spectacle to witness, and it never relies too heavily on shaky cam, resulting in clear cut action sequences that never feel strenuous to keep up with.

One of the most notable things about the film is its collision of various voices. Throughout the MCU, multiple directors have made their mark on the franchise. James Gunn's wonderful Guardians of the Galaxy films are known for their colourful, upbeat tempo's and infectious soundtracks, whilst the first two Thor movies are rooted more within the dark fantasy genre, particularly it's sequel. Understanding this, the Russo's manage to incorporate all these unique voices into one movie to ensure every character is portrayed as accurately as possible according to their respective solo outings. Throughout the films heavier moments, the Russo's never forget to incorporate humour into the mix to prevent it being 100% doom and gloom. With so many characters to juggle, there are a handful of heroes who don't get as much screen time as they deserve, and a side mission involving Thor (Hemsworth) isn't as engaging as the rest of the film, yet it never drags the film down completely.

It's difficult to dive too deep into the film without giving away any spoilers. What I will say is that Marvel are finally beginning to take risks with their storytelling. The stakes have never been higher, and Infinity War is without a doubt one the most exhausting and exhilarating chapters in the MCU. Bombastically ambitious, bursting with action and emotion as well as a jaw dropping finale that will leave you feeling somewhat cold, Infinity War is truly spectacular and the perfect film to celebrate ten years of the MCU.","8"
